condition,policy_label,total_system_cost,fraud_loss_remaining,review_cost,fp_intervention_cost,review_volume,overlap_with_d1_oracle,spearman_vs_oracle_benefit,abstention_rate,capacity_utilization
FP_COST_NOISE_HIGH,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
FP_COST_NOISE_HIGH,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
FP_COST_NOISE_HIGH,D1_estimated,583423.1714999999,482559.0785,50000.0,50864.091499999995,2000.0,0.7661139,0.6940313,,1.0
FP_COST_NOISE_HIGH,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
FP_COST_NOISE_HIGH,D2_estimated,579162.691,496322.3785,41302.5,41537.812,1652.1,0.7456321,0.6940313,0.983479,0.8260500000000001
FP_COST_NOISE_HIGH,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
FP_COST_NOISE_LOW,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
FP_COST_NOISE_LOW,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
FP_COST_NOISE_LOW,D1_estimated,579535.0925,480162.28550000006,50000.0,49372.8075,2000.0,0.8821961999999999,0.9109613,,1.0
FP_COST_NOISE_LOW,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
FP_COST_NOISE_LOW,D2_estimated,576567.666,500187.4535,38520.0,37860.212,1540.8,0.7638201,0.9109613,0.9845919999999999,0.7704
FP_COST_NOISE_LOW,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
JOINT_MODERATE_MISSPECIFICATION,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
JOINT_MODERATE_MISSPECIFICATION,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
JOINT_MODERATE_MISSPECIFICATION,D1_estimated,584007.545,482889.8795,50000.0,51117.666,2000.0,0.6989305,0.8323221000000001,,1.0
JOINT_MODERATE_MISSPECIFICATION,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
JOINT_MODERATE_MISSPECIFICATION,D2_estimated,582953.118,489415.1455,46263.75,47274.223,1850.55,0.69284015,0.8323221000000001,0.9814944999999999,0.9252750000000001
JOINT_MODERATE_MISSPECIFICATION,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
ORACLE,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
ORACLE,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
ORACLE,D1_estimated,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
ORACLE,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
ORACLE,D2_estimated,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
ORACLE,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
REVIEW_EFFECTIVENESS_OPTIMISM,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
REVIEW_EFFECTIVENESS_OPTIMISM,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,578187.0179999999,477579.96150000003,50000.0,50607.0575,2000.0,0.94313,0.9982744499999999,,1.0
REVIEW_EFFECTIVENESS_OPTIMISM,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,578140.004,477614.86500000005,49958.75,50566.3905,1998.35,0.9431314499999999,0.9982744499999999,0.979446,0.9991749999999999
REVIEW_EFFECTIVENESS_OPTIMISM,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
REVIEW_EFFECTIVENESS_PESSIMISM,B_topk_probability,655775.2145,563197.5005,50000.0,42577.715000000004,2000.0,0.24820935,1.0,,1.0
REVIEW_EFFECTIVENESS_PESSIMISM,C_expected_exposure,583270.7045,473611.17000000004,50000.0,59659.534499999994,2000.0,0.72428655,1.0,,1.0
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,578268.782,481877.57149999996,50000.0,46391.209500000004,2000.0,0.91219305,0.9976298,,1.0
REVIEW_EFFECTIVENESS_PESSIMISM,D1_oracle,577820.8940000001,478929.6145,50000.0,48891.2805,2000.0,1.0,1.0,,1.0
REVIEW_EFFECTIVENESS_PESSIMISM,D2_estimated,579321.8715,531087.1805,24972.5,23262.1905,998.9,0.49944999999999995,0.9976298,0.990011,0.49944999999999995
REVIEW_EFFECTIVENESS_PESSIMISM,D2_oracle,575894.0939999999,501214.954,37782.5,36896.640499999994,1511.3,0.7556499999999999,1.0,0.984887,0.7556499999999999
