condition,estimated_policy,simpler_policy,mean_delta_est_minus_simple,ci95_low,ci95_high,zero_status,simpler_beats_estimated_mean,simpler_clearly_better_ci
ORACLE,D1_estimated,B_topk_probability,-77954.3205,-82394.3351457163,-73514.30585428371,excludes_0_negative,False,False
ORACLE,D2_estimated,B_topk_probability,-79881.1205,-84243.33183556376,-75518.90916443625,excludes_0_negative,False,False
ORACLE,D1_estimated,C_expected_exposure,-5449.810499999992,-6660.455380760613,-4239.165619239372,excludes_0_negative,False,False
ORACLE,D2_estimated,C_expected_exposure,-7376.610500000004,-8783.722409566697,-5969.498590433311,excludes_0_negative,False,False
VALUE_NOISE_LOW,D1_estimated,B_topk_probability,-76098.5775,-80311.69219007232,-71885.46280992767,excludes_0_negative,False,False
VALUE_NOISE_LOW,D2_estimated,B_topk_probability,-78371.93350000001,-82419.03761047094,-74324.82938952908,excludes_0_negative,False,False
VALUE_NOISE_LOW,D1_estimated,C_expected_exposure,-3594.067499999993,-4922.720860279438,-2265.4141397205476,excludes_0_negative,False,False
VALUE_NOISE_LOW,D2_estimated,C_expected_exposure,-5867.423499999993,-7433.636407994369,-4301.2105920056165,excludes_0_negative,False,False
VALUE_NOISE_HIGH,D1_estimated,B_topk_probability,-66663.028,-70642.40983452651,-62683.64616547351,excludes_0_negative,False,False
VALUE_NOISE_HIGH,D2_estimated,B_topk_probability,-69798.46599999999,-73837.7381373755,-65759.19386262447,excludes_0_negative,False,False
VALUE_NOISE_HIGH,D1_estimated,C_expected_exposure,5841.4819999999945,3806.2736293265875,7876.690370673401,excludes_0_positive,True,True
VALUE_NOISE_HIGH,D2_estimated,C_expected_exposure,2706.0440000000003,339.6840620303028,5072.403937969698,excludes_0_positive,True,True
FP_COST_NOISE_LOW,D1_estimated,B_topk_probability,-76240.122,-80819.04964507707,-71661.19435492293,excludes_0_negative,False,False
FP_COST_NOISE_LOW,D2_estimated,B_topk_probability,-79207.54849999999,-83518.40711646486,-74896.68988353512,excludes_0_negative,False,False
FP_COST_NOISE_LOW,D1_estimated,C_expected_exposure,-3735.6120000000055,-5256.77067198584,-2214.4533280141713,excludes_0_negative,False,False
FP_COST_NOISE_LOW,D2_estimated,C_expected_exposure,-6703.038499999995,-8181.204102341665,-5224.872897658325,excludes_0_negative,False,False
FP_COST_NOISE_HIGH,D1_estimated,B_topk_probability,-72352.043,-77068.52951287343,-67635.55648712658,excludes_0_negative,False,False
FP_COST_NOISE_HIGH,D2_estimated,B_topk_probability,-76612.52350000001,-81131.41626459667,-72093.63073540335,excludes_0_negative,False,False
FP_COST_NOISE_HIGH,D1_estimated,C_expected_exposure,152.46699999999254,-1344.9494574914847,1649.88345749147,includes_0,True,False
FP_COST_NOISE_HIGH,D2_estimated,C_expected_exposure,-4108.013500000006,-5899.303059302531,-2316.7239406974813,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,B_topk_probability,-77588.1965,-81908.14801940904,-73268.24498059097,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,B_topk_probability,-77635.2105,-81917.11157390973,-73353.30942609027,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_OPTIMISM,D1_estimated,C_expected_exposure,-5083.686499999993,-6296.335072062833,-3871.0379279371537,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,C_expected_exposure,-5130.700500000001,-6387.869540170207,-3873.5314598297946,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,B_topk_probability,-77506.4325,-82045.1756378408,-72967.68936215919,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_PESSIMISM,D2_estimated,B_topk_probability,-76453.343,-80522.66001225675,-72384.02598774324,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,C_expected_exposure,-5001.922499999998,-6389.376828398241,-3614.468171601755,excludes_0_negative,False,False
REVIEW_EFFECTIVENESS_PESSIMISM,D2_estimated,C_expected_exposure,-3948.832999999996,-5959.890554776877,-1937.7754452231145,excludes_0_negative,False,False
JOINT_MODERATE_MISSPECIFICATION,D1_estimated,B_topk_probability,-71767.6695,-75991.43439514954,-67543.90460485047,excludes_0_negative,False,False
JOINT_MODERATE_MISSPECIFICATION,D2_estimated,B_topk_probability,-72822.09650000001,-77044.84410016632,-68599.34889983371,excludes_0_negative,False,False
JOINT_MODERATE_MISSPECIFICATION,D1_estimated,C_expected_exposure,736.8405000000027,-735.8701714250726,2209.551171425078,includes_0,True,False
JOINT_MODERATE_MISSPECIFICATION,D2_estimated,C_expected_exposure,-317.5865000000049,-1789.1497649305659,1153.976764930556,includes_0,False,False
