condition,comparison,left_policy,right_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,paired_interval_method,left_mean_cost,right_mean_cost,relative_pct_of_right_mean,practical_band_abs,practical_class,practical_band_note
ORACLE,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,estimation_penalty_D1,D1_est,D1_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,577820.8940000001,577820.8940000001,0.0,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,estimation_penalty_D2,D2_est,D2_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,575894.0939999999,575894.0939999999,0.0,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_C,C_est,C_oracle,20,19,2560.137000000011,2730.6701642292082,610.5964111347024,1282.1440239597216,3838.129976040301,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,585830.8415,583270.7045,0.4389277534853477,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_D1,D1_est,D1_oracle,20,19,1855.7429999999993,2863.437372177009,640.2840613501156,515.6130579399912,3195.8729420600075,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579676.637,577820.8940000001,0.3211623219703092,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_D2,D2_est,D2_oracle,20,19,1509.1870000000113,2343.428416357223,524.006523937943,412.4287407310371,2605.9452592689854,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,577403.281,575894.0939999999,0.262059815463225,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_C,C_est,C_oracle,20,19,14309.779500000004,4075.283935152292,911.261190661337,12402.487908097111,16217.071091902897,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,597580.4839999999,583270.7045,2.4533684598932233,5832.707045,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_D1,D1_est,D1_oracle,20,19,11291.292499999987,3588.7676736097046,802.4728473645077,9611.697527456581,12970.887472543393,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,589112.1865000001,577820.8940000001,1.954116339032902,5778.208940000001,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_D2,D2_est,D2_oracle,20,19,10082.654500000004,4453.947860558473,995.93301844485,7998.142735815505,12167.166264184503,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,585976.7485,575894.0939999999,1.7507827576366854,5758.9409399999995,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_D1,D1_est,D1_oracle,20,19,1714.198499999987,1987.1820274217932,444.34740969809803,784.1686829878644,2644.2283170121095,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579535.0925,577820.8940000001,0.2966660634462946,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_LOW,estimation_penalty_D2,D2_est,D2_oracle,20,19,673.5720000000089,1715.7347823465373,383.6499604687663,-129.41659573389825,1476.560595733916,includes_0,2.093024054408263,student_t_df_n_minus_1,576567.666,575894.0939999999,0.11696108833510785,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_D1,D1_est,D1_oracle,20,19,5602.277499999985,2703.4626514525044,604.512626327962,4337.0180319020465,6867.536968097923,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583423.1714999999,577820.8940000001,0.9695525998061233,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_D2,D2_est,D2_oracle,20,19,3268.596999999997,2730.6787000518407,610.5983198026674,1990.6000290717448,4546.593970928249,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579162.691,575894.0939999999,0.5675691128028824,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_D1,D1_est,D1_oracle,20,19,366.12399999999906,1425.2296192447927,318.69103121774987,-300.9039942629261,1033.1519942629243,includes_0,2.093024054408263,student_t_df_n_minus_1,578187.0179999999,577820.8940000001,0.06336288697791517,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_D2,D2_est,D2_oracle,20,19,2245.9100000000035,2140.426122894324,478.61383116080276,1244.1597386079484,3247.6602613920586,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,578140.0039999998,575894.0939999999,0.3899866352857586,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_D1,D1_est,D1_oracle,20,19,447.88799999999463,1601.2959858505324,358.06066764593317,-301.541590320426,1197.3175903204153,includes_0,2.093024054408263,student_t_df_n_minus_1,578268.782,577820.8940000001,0.07751329255324481,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_D2,D2_est,D2_oracle,20,19,3427.7775000000083,3416.650306621326,763.9862340950784,1828.735934802227,5026.819065197789,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579321.8715,575894.0939999999,0.5952096983998605,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
JOINT_MODERATE_MISSPECIFICATION,estimation_penalty_C,C_est,C_oracle,20,19,6049.217000000004,2954.760155242998,660.7044564331175,4666.346679830753,7432.087320169256,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,589319.9214999999,583270.7045,1.037119977624387,5832.707045,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
JOINT_MODERATE_MISSPECIFICATION,estimation_penalty_D1,D1_est,D1_oracle,20,19,6186.650999999995,2553.8286924844356,571.0534559284604,4991.422380388759,7381.879619611232,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,584007.545,577820.8940000001,1.070686620065351,5778.208940000001,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
