review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,review_effectiveness,policy_label,base_policy,info_set,deployable,is_oracle_reference,condition,e_true,e_hat,r_true,r_hat,abstention_rate,overlap_with_d1_oracle,spearman_vs_oracle_benefit,capacity_utilization,seed,capacity
2000,0.5115,90728.78,560995.49,42531.54,50000.0,653527.03,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,ORACLE,0.8,0.8,25.0,25.0,,0.233806,1.0,1.0,1042,2000
2000,0.3005,181679.49,470044.78,60546.85,50000.0,580591.63,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,ORACLE,0.8,0.8,25.0,25.0,,0.72043,0.370762,1.0,1042,2000
2000,0.3005,181679.49,470044.78,60546.85,50000.0,580591.63,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,ORACLE,0.8,0.8,25.0,25.0,,0.72043,0.370762,1.0,1042,2000
2000,0.338,175351.75,476372.52,49754.84,50000.0,576127.37,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,ORACLE,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1042,2000
1553,0.349,156523.27,495201.0,38606.08,38825.0,572632.07,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,ORACLE,0.8,0.8,25.0,25.0,0.98447,0.7765,1.0,0.7765,1042,2000
2000,0.338,175351.75,476372.52,49754.84,50000.0,576127.37,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,ORACLE,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1042,2000
1553,0.349,156523.27,495201.0,38606.08,38825.0,572632.07,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,ORACLE,0.8,0.8,25.0,25.0,0.98447,0.7765,1.0,0.7765,1042,2000
2000,0.5115,90728.78,560995.49,42531.54,50000.0,653527.03,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.233806,1.0,1.0,1042,2000
2000,0.3005,181679.49,470044.78,60546.85,50000.0,580591.63,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.72043,0.370762,1.0,1042,2000
2000,0.296,179220.14,472504.13,61158.57,50000.0,583662.71,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.670844,0.368559,1.0,1042,2000
2000,0.338,175351.75,476372.52,49754.84,50000.0,576127.37,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1042,2000
1553,0.349,156523.27,495201.0,38606.08,38825.0,572632.07,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,0.98447,0.7765,1.0,0.7765,1042,2000
2000,0.334,175627.02,476097.25,50177.9,50000.0,576275.15,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,,0.812415,0.998371,1.0,1042,2000
1571,0.3456,158356.58,493367.69,39519.15,39275.0,572161.84,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,VALUE_NOISE_LOW,0.8,0.8,25.0,25.0,0.98429,0.741102,0.998371,0.7855,1042,2000
2000,0.5115,90728.78,560995.49,42531.54,50000.0,653527.03,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.233806,1.0,1.0,1042,2000
2000,0.3005,181679.49,470044.78,60546.85,50000.0,580591.63,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,VALUE_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.72043,0.370762,1.0,1042,2000
