condition,comparison,left_policy,right_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,paired_interval_method,left_mean_cost,right_mean_cost,relative_pct_of_right_mean,practical_band_abs,practical_class,practical_band_note
ORACLE,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,583270.7045,655775.2145,-11.056305330978624,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,577820.8940000001,655775.2145,-11.8873538944952,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,575894.0939999999,655775.2145,-12.181174087359475,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_D1_est_minus_C_est,D1_est,C_est,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,577820.8940000001,583270.7045,-0.9343535442383927,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,575894.0939999999,583270.7045,-1.26469758262992,5832.707045,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,575894.0939999999,577820.8940000001,-0.3334597312086834,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,estimation_penalty_D1,D1_est,D1_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,577820.8940000001,577820.8940000001,0.0,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,estimation_penalty_D2,D2_est,D2_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,575894.0939999999,575894.0939999999,0.0,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
ORACLE,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-69944.37299999999,9314.972434854886,2082.8911572872257,-74303.91429491642,-65584.83170508356,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,585830.8415,655775.2145,-10.66590677010102,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-76098.5775,9002.1047050681,2012.9318061102967,-80311.69219007232,-71885.46280992767,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579676.637,655775.2145,-11.60436927431328,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-78371.93350000001,8647.392163479271,1933.6156705638625,-82419.03761047094,-74324.82938952908,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,577403.281,655775.2145,-11.95103623423084,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_D1_est_minus_C_est,D1_est,C_est,20,19,-6154.204500000004,2973.7266075953967,664.9454841083149,-7545.951393108855,-4762.457606891154,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579676.637,585830.8415,-1.0505087926477843,5858.3084149999995,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-8427.560500000003,2924.2349779629285,653.8788192907707,-9796.144597443661,-7058.976402556346,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,577403.281,585830.8415,-1.4385655214774151,5858.3084149999995,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-2273.3559999999998,2438.5310130322455,545.2721110381526,-3414.6236446008265,-1132.088355399173,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,577403.281,579676.637,-0.3921765782670313,5796.76637,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_C,C_est,C_oracle,20,19,2560.137000000011,2730.6701642292082,610.5964111347024,1282.1440239597216,3838.129976040301,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,585830.8415,583270.7045,0.4389277534853477,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_D1,D1_est,D1_oracle,20,19,1855.7429999999993,2863.437372177009,640.2840613501156,515.6130579399912,3195.8729420600075,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579676.637,577820.8940000001,0.3211623219703092,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,estimation_penalty_D2,D2_est,D2_oracle,20,19,1509.1870000000113,2343.428416357223,524.006523937943,412.4287407310371,2605.9452592689854,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,577403.281,575894.0939999999,0.262059815463225,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_LOW,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-58194.73049999999,9074.095927541537,2029.029532833688,-62441.53811932566,-53947.92288067432,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,597580.4839999999,655775.2145,-8.874188778905122,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-66663.028,8502.690899980838,1901.2594844026019,-70642.40983452651,-62683.64616547351,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,589112.1865000001,655775.2145,-10.165530280193291,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-69798.46599999999,8630.65769336899,1929.8737292904598,-73837.7381373755,-65759.19386262447,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,585976.7485,655775.2145,-10.643657225321984,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_D1_est_minus_C_est,D1_est,C_est,20,19,-8468.29750000001,2509.9398515059333,561.2396127402994,-9642.985509752234,-7293.609490247785,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,589112.1865000001,597580.4839999999,-1.4170973997203045,5975.80484,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-11603.735500000004,2697.838233405796,603.2549682193304,-12866.362659424354,-10341.108340575654,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,585976.7485,597580.4839999999,-1.94178622138537,5975.80484,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-3135.4379999999946,1845.0071477613435,412.5561401367363,-3998.92792510001,-2271.9480748999795,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,585976.7485,589112.1865000001,-0.532231054093123,5891.121865000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_C,C_est,C_oracle,20,19,14309.779500000004,4075.283935152292,911.261190661337,12402.487908097111,16217.071091902897,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,597580.4839999999,583270.7045,2.4533684598932233,5832.707045,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_D1,D1_est,D1_oracle,20,19,11291.292499999987,3588.7676736097046,802.4728473645077,9611.697527456581,12970.887472543393,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,589112.1865000001,577820.8940000001,1.954116339032902,5778.208940000001,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,estimation_penalty_D2,D2_est,D2_oracle,20,19,10082.654500000004,4453.947860558473,995.93301844485,7998.142735815505,12167.166264184503,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,585976.7485,575894.0939999999,1.7507827576366854,5758.9409399999995,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
VALUE_NOISE_HIGH,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
