prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
baseline,calibrated_T1.0,baseline,500,D_cost_aware,555295.8359999999,"C_expected_exposure,D_cost_aware",0.4,near_equivalent_unstable
baseline,calibrated_T1.0,baseline,1000,D_cost_aware,536137.354,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,calibrated_T1.0,baseline,2000,D_cost_aware,526881.8200000001,D_cost_aware,0.9,clear_winner
baseline,calibrated_T1.0,baseline,5000,D_cost_aware,520833.337,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,baseline,10000,D_cost_aware,525630.477,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,high,500,D_cost_aware,580070.875,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,calibrated_T1.0,high,1000,D_cost_aware,576485.397,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,high,2000,D_cost_aware,577013.507,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,high,5000,D_cost_aware,583199.54,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,high,10000,D_cost_aware,583950.066,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,low,500,D_cost_aware,545769.264,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
baseline,calibrated_T1.0,low,1000,D_cost_aware,516652.346,"C_expected_exposure,D_cost_aware",0.5,near_equivalent_unstable
baseline,calibrated_T1.0,low,2000,D_cost_aware,492037.051,"C_expected_exposure,D_cost_aware",0.6,near_equivalent_unstable
baseline,calibrated_T1.0,low,5000,D_cost_aware,483604.588,D_cost_aware,1.0,clear_winner
baseline,calibrated_T1.0,low,10000,D_cost_aware,482109.658,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,baseline,500,D_cost_aware,560668.345,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
baseline,moderate_T1.5,baseline,1000,D_cost_aware,542393.905,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,moderate_T1.5,baseline,2000,D_cost_aware,534966.635,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,baseline,5000,D_cost_aware,570100.054,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,baseline,10000,D_cost_aware,571896.937,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,high,500,D_cost_aware,583243.3049999999,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,high,1000,D_cost_aware,588400.125,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,high,2000,D_cost_aware,602864.342,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,high,5000,D_cost_aware,604341.355,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,high,10000,D_cost_aware,603953.7470000001,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,low,500,D_cost_aware,559294.1070000001,"C_expected_exposure,D_cost_aware",0.6,near_equivalent_unstable
baseline,moderate_T1.5,low,1000,D_cost_aware,519756.413,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,moderate_T1.5,low,2000,D_cost_aware,497801.789,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,moderate_T1.5,low,5000,D_cost_aware,503725.06100000005,D_cost_aware,1.0,clear_winner
baseline,moderate_T1.5,low,10000,D_cost_aware,539383.4689999999,D_cost_aware,1.0,clear_winner
baseline,severe_T2.5,baseline,500,D_cost_aware,583217.83,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
baseline,severe_T2.5,baseline,1000,D_cost_aware,565235.494,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
baseline,severe_T2.5,baseline,2000,D_cost_aware,576730.599,D_cost_aware,1.0,clear_winner
baseline,severe_T2.5,baseline,5000,A_fixed_threshold_fifo,624256.884,A_fixed_threshold_fifo,0.9,clear_winner
baseline,severe_T2.5,baseline,10000,A_fixed_threshold_fifo,612442.253,A_fixed_threshold_fifo,1.0,clear_winner
baseline,severe_T2.5,high,500,D_cost_aware,609556.655,D_cost_aware,1.0,clear_winner
baseline,severe_T2.5,high,1000,D_cost_aware,627836.728,D_cost_aware,1.0,clear_winner
baseline,severe_T2.5,high,2000,A_fixed_threshold_fifo,655124.672,A_fixed_threshold_fifo,1.0,clear_winner
baseline,severe_T2.5,high,5000,A_fixed_threshold_fifo,640322.89,A_fixed_threshold_fifo,1.0,clear_winner
baseline,severe_T2.5,high,10000,A_fixed_threshold_fifo,647385.9060000001,A_fixed_threshold_fifo,1.0,clear_winner
baseline,severe_T2.5,low,500,D_cost_aware,564285.425,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,severe_T2.5,low,1000,D_cost_aware,552732.493,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
baseline,severe_T2.5,low,2000,D_cost_aware,531394.415,"C_expected_exposure,D_cost_aware",1.0,near_equivalent
baseline,severe_T2.5,low,5000,D_cost_aware,545821.6070000001,D_cost_aware,1.0,clear_winner
baseline,severe_T2.5,low,10000,A_fixed_threshold_fifo,615231.511,A_fixed_threshold_fifo,0.9,clear_winner
high,calibrated_T1.0,baseline,500,D_cost_aware,950979.994,"C_expected_exposure,D_cost_aware",0.9,near_equivalent
high,calibrated_T1.0,baseline,1000,D_cost_aware,902835.932,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,calibrated_T1.0,baseline,2000,D_cost_aware,851556.084,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,calibrated_T1.0,baseline,5000,D_cost_aware,821895.0599999999,D_cost_aware,1.0,clear_winner
high,calibrated_T1.0,baseline,10000,D_cost_aware,820446.0,D_cost_aware,1.0,clear_winner
high,calibrated_T1.0,high,500,D_cost_aware,980537.132,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,calibrated_T1.0,high,1000,D_cost_aware,945767.208,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
high,calibrated_T1.0,high,2000,D_cost_aware,943488.8040000001,D_cost_aware,1.0,clear_winner
high,calibrated_T1.0,high,5000,D_cost_aware,940992.106,D_cost_aware,1.0,clear_winner
high,calibrated_T1.0,high,10000,D_cost_aware,948102.293,D_cost_aware,1.0,clear_winner
high,calibrated_T1.0,low,500,C_expected_exposure,948733.0040000001,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,calibrated_T1.0,low,1000,C_expected_exposure,889355.5449999999,"C_expected_exposure,D_cost_aware",0.6,near_equivalent_unstable
high,calibrated_T1.0,low,2000,C_expected_exposure,819369.446,"C_expected_exposure,D_cost_aware",0.5,near_equivalent_unstable
high,calibrated_T1.0,low,5000,D_cost_aware,748008.425,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,calibrated_T1.0,low,10000,D_cost_aware,743071.767,D_cost_aware,1.0,clear_winner
high,moderate_T1.5,baseline,500,D_cost_aware,962367.4380000001,"C_expected_exposure,D_cost_aware",0.7,near_equivalent
high,moderate_T1.5,baseline,1000,D_cost_aware,915296.8,"C_expected_exposure,D_cost_aware",0.8,near_equivalent
