prevalence,calibration,fp_cost_regime,capacity,policy,mean_review_volume,mean_fraud_loss,mean_fp_cost,mean_review_cost,mean_total_cost,mean_precision
baseline,temperature_T2.5,baseline,5000,A_fixed_threshold_fifo,845.0,597960.134,14005.801000000001,21125.0,633090.934,0.61483
baseline,temperature_T2.5,baseline,5000,B_topk_probability,5000.0,430740.128,134983.58500000002,125000.0,690723.71,0.37706
baseline,temperature_T2.5,baseline,5000,C_expected_exposure,5000.0,364377.622,188476.278,125000.0,677853.899,0.12796000000000002
baseline,temperature_T2.5,baseline,5000,D1_cost_aware_topk,5000.0,356974.307,168436.553,125000.0,650410.861,0.13952
baseline,temperature_T2.5,baseline,5000,D2_cost_aware_abstention,5000.0,356974.307,168436.553,125000.0,650410.861,0.13952
baseline,temperature_T2.5,baseline,10000,A_fixed_threshold_fifo,869.6,593277.664,13618.85,21740.0,628636.515,0.63717
baseline,temperature_T2.5,baseline,10000,B_topk_probability,10000.0,318960.358,312598.945,250000.0,881559.303,0.27908
baseline,temperature_T2.5,baseline,10000,C_expected_exposure,10000.0,266671.896,383352.77599999995,250000.0,900024.6710000001,0.11612
baseline,temperature_T2.5,baseline,10000,D1_cost_aware_topk,10000.0,259184.663,332777.97,250000.0,841962.631,0.12788
baseline,temperature_T2.5,baseline,10000,D2_cost_aware_abstention,9795.4,261971.07599999997,326086.055,244885.0,832942.128,0.12849
baseline,temperature_T2.5,high,2000,A_fixed_threshold_fifo,871.6,588591.2729999999,43327.008,21790.0,653708.283,0.62068
baseline,temperature_T2.5,high,2000,B_topk_probability,2000.0,529537.8,126664.625,50000.0,706202.425,0.5143
baseline,temperature_T2.5,high,2000,C_expected_exposure,2000.0,466637.55199999997,222945.26299999998,50000.0,739582.814,0.14484999999999998
baseline,temperature_T2.5,high,2000,D1_cost_aware_topk,2000.0,459777.63,179200.209,50000.0,688977.837,0.16995
baseline,temperature_T2.5,high,2000,D2_cost_aware_abstention,2000.0,459777.63,179200.209,50000.0,688977.837,0.16995
baseline,temperature_T2.5,high,5000,A_fixed_threshold_fifo,867.7,591054.174,42411.112,21692.5,655157.787,0.624
baseline,temperature_T2.5,high,5000,B_topk_probability,5000.0,426030.16,404851.212,125000.0,955881.373,0.37738
baseline,temperature_T2.5,high,5000,C_expected_exposure,5000.0,361636.695,563524.912,125000.0,1050161.608,0.13036
baseline,temperature_T2.5,high,5000,D1_cost_aware_topk,5000.0,357353.871,425180.645,125000.0,907534.517,0.15798
baseline,temperature_T2.5,high,5000,D2_cost_aware_abstention,3307.2,405562.072,287279.194,82680.0,775521.267,0.16654
baseline,temperature_T2.5,high,10000,A_fixed_threshold_fifo,866.5,597748.922,41545.088,21662.5,660956.5140000001,0.62777
baseline,temperature_T2.5,high,10000,B_topk_probability,10000.0,321729.35,937014.951,250000.0,1508744.3,0.27851
baseline,temperature_T2.5,high,10000,C_expected_exposure,10000.0,263549.93200000003,1149638.0320000001,250000.0,1663187.965,0.11556
baseline,temperature_T2.5,high,10000,D1_cost_aware_topk,10000.0,272783.091,812093.1240000001,250000.0,1334876.215,0.14284
baseline,temperature_T2.5,high,10000,D2_cost_aware_abstention,3303.2,407516.153,288384.667,82580.0,778480.821,0.16531
baseline,temperature_T2.5,low,10000,A_fixed_threshold_fifo,868.6,591862.1190000001,5220.215,21715.0,618797.333,0.63097
baseline,temperature_T2.5,low,10000,B_topk_probability,10000.0,321210.31299999997,117109.599,250000.0,688319.911,0.27805
baseline,temperature_T2.5,low,10000,C_expected_exposure,10000.0,264990.463,143679.097,250000.0,658669.558,0.11528000000000001
baseline,temperature_T2.5,low,10000,D1_cost_aware_topk,10000.0,260896.876,135493.072,250000.0,646389.949,0.11983999999999999
baseline,temperature_T2.5,low,10000,D2_cost_aware_abstention,10000.0,260896.876,135493.072,250000.0,646389.949,0.11983999999999999
high,temperature_T2.5,high,5000,A_fixed_threshold_fifo,2528.3,912414.7509999999,120846.75600000001,63207.5,1096469.01,0.63549
high,temperature_T2.5,high,5000,B_topk_probability,5000.0,785115.17,304410.18200000003,125000.0,1214525.352,0.5351
high,temperature_T2.5,high,5000,C_expected_exposure,5000.0,643751.6599999999,525883.0889999999,125000.0,1294634.7480000001,0.19232
high,temperature_T2.5,high,5000,D1_cost_aware_topk,5000.0,627636.743,408875.842,125000.0,1161512.586,0.23056000000000001
high,temperature_T2.5,high,5000,D2_cost_aware_abstention,4983.4,628500.828,407650.44700000004,124585.0,1160736.277,0.23043
high,temperature_T2.5,high,10000,A_fixed_threshold_fifo,2538.2,913176.816,119379.442,63455.0,1096011.26,0.63847
high,temperature_T2.5,high,10000,B_topk_probability,10000.0,599246.691,752196.113,250000.0,1601442.8029999998,0.42156000000000005
high,temperature_T2.5,high,10000,C_expected_exposure,10000.0,478970.49400000006,1072822.034,250000.0,1801792.5289999999,0.17548999999999998
high,temperature_T2.5,high,10000,D1_cost_aware_topk,10000.0,474240.14400000003,789734.17,250000.0,1513974.314,0.21591
high,temperature_T2.5,high,10000,D2_cost_aware_abstention,5030.5,627647.746,411087.24100000004,125762.5,1164497.4880000001,0.23172
low,temperature_T2.5,baseline,2000,A_fixed_threshold_fifo,244.5,358701.35699999996,3926.8419999999996,6112.5,368740.699,0.62708
low,temperature_T2.5,baseline,2000,B_topk_probability,2000.0,288913.13,55955.052,50000.0,394868.185,0.35409999999999997
low,temperature_T2.5,baseline,2000,C_expected_exposure,2000.0,257442.22400000002,78033.93000000001,50000.0,385476.15499999997,0.0988
low,temperature_T2.5,baseline,2000,D1_cost_aware_topk,2000.0,254620.694,70545.35699999999,50000.0,375166.052,0.10575000000000001
low,temperature_T2.5,baseline,2000,D2_cost_aware_abstention,2000.0,254620.694,70545.35699999999,50000.0,375166.052,0.10575000000000001
low,temperature_T2.5,baseline,5000,A_fixed_threshold_fifo,248.4,340499.25700000004,4233.077,6210.0,350942.333,0.60671
low,temperature_T2.5,baseline,5000,B_topk_probability,5000.0,214197.713,166253.642,125000.0,505451.355,0.23410000000000003
low,temperature_T2.5,baseline,5000,C_expected_exposure,5000.0,192849.303,199870.43,125000.0,517719.732,0.07746
low,temperature_T2.5,baseline,5000,D1_cost_aware_topk,5000.0,189878.852,175483.026,125000.0,490361.88,0.0844
low,temperature_T2.5,baseline,5000,D2_cost_aware_abstention,5000.0,189878.852,175483.026,125000.0,490361.88,0.0844
low,temperature_T2.5,baseline,10000,A_fixed_threshold_fifo,246.5,346416.653,4101.925,6162.5,356681.078,0.61971
low,temperature_T2.5,baseline,10000,B_topk_probability,10000.0,157051.55800000002,361162.025,250000.0,768213.585,0.1689
low,temperature_T2.5,baseline,10000,C_expected_exposure,10000.0,140578.457,403750.684,250000.0,794329.139,0.06952
low,temperature_T2.5,baseline,10000,D1_cost_aware_topk,10000.0,137618.28,340627.13300000003,250000.0,728245.412,0.07776000000000001
low,temperature_T2.5,baseline,10000,D2_cost_aware_abstention,6718.6,168798.35700000002,232618.365,167965.0,569381.724,0.08333
low,temperature_T2.5,high,500,A_fixed_threshold_fifo,248.7,355487.443,12307.509,6217.5,374012.452,0.61792
low,temperature_T2.5,high,500,B_topk_probability,500.0,341682.887,29945.316,12500.0,384128.20300000004,0.5346
low,temperature_T2.5,high,500,C_expected_exposure,500.0,318170.94,58028.067,12500.0,388699.00800000003,0.11359999999999999
low,temperature_T2.5,high,500,D1_cost_aware_topk,500.0,315483.771,48333.835999999996,12500.0,376317.609,0.1302
low,temperature_T2.5,high,500,D2_cost_aware_abstention,500.0,315483.771,48333.835999999996,12500.0,376317.609,0.1302
low,temperature_T2.5,high,1000,A_fixed_threshold_fifo,246.5,355047.04500000004,12200.713,6162.5,373410.257,0.62402
low,temperature_T2.5,high,1000,B_topk_probability,1000.0,320394.152,71707.314,25000.0,417101.46499999997,0.4474
low,temperature_T2.5,high,1000,C_expected_exposure,1000.0,293175.657,116049.399,25000.0,434225.054,0.10600000000000001
low,temperature_T2.5,high,1000,D1_cost_aware_topk,1000.0,289427.073,94675.4,25000.0,409102.473,0.12350000000000001
low,temperature_T2.5,high,1000,D2_cost_aware_abstention,1000.0,289427.073,94675.4,25000.0,409102.473,0.12350000000000001
low,temperature_T2.5,high,2000,A_fixed_threshold_fifo,249.8,351245.49199999997,12998.821,6245.0,370489.31100000005,0.60651
low,temperature_T2.5,high,2000,B_topk_probability,2000.0,282970.646,169631.776,50000.0,502602.421,0.35055000000000003
low,temperature_T2.5,high,2000,C_expected_exposure,2000.0,256405.162,235717.009,50000.0,542122.172,0.0943
low,temperature_T2.5,high,2000,D1_cost_aware_topk,2000.0,252533.571,181827.636,50000.0,484361.20599999995,0.11365
low,temperature_T2.5,high,2000,D2_cost_aware_abstention,2000.0,252533.571,181827.636,50000.0,484361.20599999995,0.11365
low,temperature_T2.5,high,5000,A_fixed_threshold_fifo,248.0,346654.557,12227.496000000001,6200.0,365082.052,0.6215499999999999
low,temperature_T2.5,high,5000,B_topk_probability,5000.0,220917.65600000002,491734.6,125000.0,837652.254,0.24174
low,temperature_T2.5,high,5000,C_expected_exposure,5000.0,195206.819,594902.032,125000.0,915108.852,0.08172
low,temperature_T2.5,high,5000,D1_cost_aware_topk,5000.0,197324.056,427305.24199999997,125000.0,749629.297,0.10042
low,temperature_T2.5,high,5000,D2_cost_aware_abstention,2054.5,250818.97799999997,186894.132,51362.5,489075.61,0.11402000000000001
low,temperature_T2.5,high,10000,A_fixed_threshold_fifo,254.2,349338.669,12851.942,6355.0,368545.61,0.60577
low,temperature_T2.5,high,10000,B_topk_probability,10000.0,163237.452,1076989.1530000002,250000.0,1490226.6030000001,0.16999999999999998
low,temperature_T2.5,high,10000,C_expected_exposure,10000.0,140577.678,1208529.179,250000.0,1599106.8560000001,0.07066
low,temperature_T2.5,high,10000,D1_cost_aware_topk,10000.0,156156.76499999998,804496.976,250000.0,1210653.742,0.08509
low,temperature_T2.5,high,10000,D2_cost_aware_abstention,2048.0,252647.315,187353.387,51200.0,491200.7,0.10815
low,temperature_T2.5,low,5000,A_fixed_threshold_fifo,249.2,356601.38399999996,1593.547,6230.0,364424.931,0.60477
low,temperature_T2.5,low,5000,B_topk_probability,5000.0,227595.27200000003,61541.335999999996,125000.0,414136.608,0.24131999999999998
low,temperature_T2.5,low,5000,C_expected_exposure,5000.0,196963.176,74475.265,125000.0,396438.443,0.08226
low,temperature_T2.5,low,5000,D1_cost_aware_topk,5000.0,194728.117,70443.771,125000.0,390171.886,0.08576
low,temperature_T2.5,low,5000,D2_cost_aware_abstention,5000.0,194728.117,70443.771,125000.0,390171.886,0.08576
low,temperature_T2.5,low,10000,A_fixed_threshold_fifo,249.6,356604.284,1635.992,6240.0,364480.277,0.60328
low,temperature_T2.5,low,10000,B_topk_probability,10000.0,166661.53,135186.207,250000.0,551847.7359999999,0.16865000000000002
low,temperature_T2.5,low,10000,C_expected_exposure,10000.0,140834.326,151035.16600000003,250000.0,541869.494,0.07146
low,temperature_T2.5,low,10000,D1_cost_aware_topk,10000.0,138827.498,140719.48200000002,250000.0,529546.981,0.07454000000000001
low,temperature_T2.5,low,10000,D2_cost_aware_abstention,10000.0,138827.498,140719.48200000002,250000.0,529546.981,0.07454000000000001
