prevalence,calibration,fp_cost_regime,capacity,best_policy,second_best,cost_gap,notes
baseline,calibrated,baseline,500,D_cost_aware,C_expected_exposure,3860.61,near-tie / null practical difference (<1%)
baseline,calibrated,baseline,2000,D_cost_aware,C_expected_exposure,4772.2,near-tie / null practical difference (<1%)
baseline,calibrated,high,500,D_cost_aware,C_expected_exposure,4748.77,near-tie / null practical difference (<1%)
baseline,calibrated,low,500,C_expected_exposure,D_cost_aware,4014.24,near-tie / null practical difference (<1%)
baseline,calibrated,low,1000,C_expected_exposure,D_cost_aware,2771.41,near-tie / null practical difference (<1%)
baseline,calibrated,low,2000,D_cost_aware,C_expected_exposure,2414.61,near-tie / null practical difference (<1%)
baseline,calibrated,low,5000,D_cost_aware,C_expected_exposure,2041.48,near-tie / null practical difference (<1%)
baseline,moderate_distortion,baseline,500,D_cost_aware,C_expected_exposure,2649.85,near-tie / null practical difference (<1%)
baseline,moderate_distortion,baseline,1000,D_cost_aware,C_expected_exposure,1473.48,near-tie / null practical difference (<1%)
baseline,moderate_distortion,baseline,2000,D_cost_aware,C_expected_exposure,1557.67,near-tie / null practical difference (<1%)
baseline,moderate_distortion,high,1000,D_cost_aware,C_expected_exposure,5645.28,near-tie / null practical difference (<1%)
baseline,moderate_distortion,low,500,D_cost_aware,C_expected_exposure,1420.43,near-tie / null practical difference (<1%)
baseline,moderate_distortion,low,1000,D_cost_aware,C_expected_exposure,1132.32,near-tie / null practical difference (<1%)
baseline,moderate_distortion,low,2000,C_expected_exposure,D_cost_aware,1626.33,near-tie / null practical difference (<1%)
baseline,moderate_distortion,low,5000,C_expected_exposure,D_cost_aware,163.86,near-tie / null practical difference (<1%)
baseline,moderate_distortion,low,10000,D_cost_aware,C_expected_exposure,2658.46,near-tie / null practical difference (<1%)
baseline,severe_distortion,baseline,500,D_cost_aware,C_expected_exposure,493.82,near-tie / null practical difference (<1%)
baseline,severe_distortion,baseline,1000,D_cost_aware,C_expected_exposure,615.54,near-tie / null practical difference (<1%)
baseline,severe_distortion,baseline,2000,D_cost_aware,C_expected_exposure,1534.04,near-tie / null practical difference (<1%)
baseline,severe_distortion,baseline,5000,D_cost_aware,C_expected_exposure,3017.3,near-tie / null practical difference (<1%)
baseline,severe_distortion,high,500,C_expected_exposure,D_cost_aware,1763.44,near-tie / null practical difference (<1%)
baseline,severe_distortion,high,1000,D_cost_aware,C_expected_exposure,4447.22,near-tie / null practical difference (<1%)
baseline,severe_distortion,low,500,D_cost_aware,C_expected_exposure,372.16,near-tie / null practical difference (<1%)
baseline,severe_distortion,low,1000,C_expected_exposure,D_cost_aware,801.02,near-tie / null practical difference (<1%)
baseline,severe_distortion,low,2000,C_expected_exposure,D_cost_aware,2612.21,near-tie / null practical difference (<1%)
baseline,severe_distortion,low,5000,D_cost_aware,C_expected_exposure,2793.59,near-tie / null practical difference (<1%)
baseline,severe_distortion,low,10000,C_expected_exposure,D_cost_aware,4554.84,near-tie / null practical difference (<1%)
high,calibrated,baseline,500,C_expected_exposure,D_cost_aware,7534.62,near-tie / null practical difference (<1%)
high,calibrated,baseline,1000,C_expected_exposure,D_cost_aware,1800.22,near-tie / null practical difference (<1%)
high,calibrated,baseline,2000,D_cost_aware,C_expected_exposure,3450.32,near-tie / null practical difference (<1%)
high,calibrated,baseline,5000,D_cost_aware,C_expected_exposure,6831.4,near-tie / null practical difference (<1%)
high,calibrated,high,500,D_cost_aware,C_expected_exposure,6820.59,near-tie / null practical difference (<1%)
high,calibrated,high,1000,D_cost_aware,C_expected_exposure,8388.34,near-tie / null practical difference (<1%)
high,calibrated,high,2000,D_cost_aware,C_expected_exposure,4142.49,near-tie / null practical difference (<1%)
high,calibrated,low,500,C_expected_exposure,D_cost_aware,266.85,near-tie / null practical difference (<1%)
high,calibrated,low,1000,C_expected_exposure,D_cost_aware,61.5,near-tie / null practical difference (<1%)
high,calibrated,low,2000,C_expected_exposure,D_cost_aware,789.36,near-tie / null practical difference (<1%)
high,calibrated,low,5000,C_expected_exposure,D_cost_aware,1606.5,near-tie / null practical difference (<1%)
high,calibrated,low,10000,D_cost_aware,C_expected_exposure,4742.41,near-tie / null practical difference (<1%)
high,moderate_distortion,baseline,500,D_cost_aware,C_expected_exposure,996.79,near-tie / null practical difference (<1%)
high,moderate_distortion,baseline,1000,C_expected_exposure,D_cost_aware,2237.0,near-tie / null practical difference (<1%)
high,moderate_distortion,baseline,2000,C_expected_exposure,D_cost_aware,2246.02,near-tie / null practical difference (<1%)
high,moderate_distortion,baseline,5000,D_cost_aware,C_expected_exposure,3383.16,near-tie / null practical difference (<1%)
high,moderate_distortion,high,500,C_expected_exposure,D_cost_aware,484.01,near-tie / null practical difference (<1%)
high,moderate_distortion,high,2000,C_expected_exposure,D_cost_aware,2541.79,near-tie / null practical difference (<1%)
high,moderate_distortion,low,500,C_expected_exposure,D_cost_aware,408.96,near-tie / null practical difference (<1%)
high,moderate_distortion,low,1000,C_expected_exposure,D_cost_aware,187.58,near-tie / null practical difference (<1%)
high,moderate_distortion,low,2000,C_expected_exposure,D_cost_aware,550.12,near-tie / null practical difference (<1%)
high,moderate_distortion,low,5000,D_cost_aware,C_expected_exposure,1084.23,near-tie / null practical difference (<1%)
high,moderate_distortion,low,10000,C_expected_exposure,D_cost_aware,2329.65,near-tie / null practical difference (<1%)
high,severe_distortion,baseline,500,C_expected_exposure,D_cost_aware,1867.53,near-tie / null practical difference (<1%)
high,severe_distortion,baseline,1000,C_expected_exposure,D_cost_aware,759.21,near-tie / null practical difference (<1%)
high,severe_distortion,baseline,2000,D_cost_aware,C_expected_exposure,348.2,near-tie / null practical difference (<1%)
high,severe_distortion,baseline,5000,D_cost_aware,C_expected_exposure,4764.92,near-tie / null practical difference (<1%)
high,severe_distortion,baseline,10000,C_expected_exposure,D_cost_aware,2360.01,near-tie / null practical difference (<1%)
high,severe_distortion,high,500,D_cost_aware,C_expected_exposure,3115.35,near-tie / null practical difference (<1%)
high,severe_distortion,high,1000,D_cost_aware,C_expected_exposure,6653.57,near-tie / null practical difference (<1%)
high,severe_distortion,low,500,C_expected_exposure,D_cost_aware,1406.05,near-tie / null practical difference (<1%)
high,severe_distortion,low,1000,D_cost_aware,C_expected_exposure,960.22,near-tie / null practical difference (<1%)
high,severe_distortion,low,2000,D_cost_aware,C_expected_exposure,209.18,near-tie / null practical difference (<1%)
high,severe_distortion,low,5000,C_expected_exposure,D_cost_aware,1201.37,near-tie / null practical difference (<1%)
high,severe_distortion,low,10000,C_expected_exposure,D_cost_aware,5273.85,near-tie / null practical difference (<1%)
low,calibrated,baseline,500,D_cost_aware,C_expected_exposure,2751.71,near-tie / null practical difference (<1%)
low,calibrated,low,500,D_cost_aware,C_expected_exposure,1574.59,near-tie / null practical difference (<1%)
low,calibrated,low,1000,D_cost_aware,C_expected_exposure,1042.24,near-tie / null practical difference (<1%)
low,moderate_distortion,baseline,500,C_expected_exposure,D_cost_aware,379.35,near-tie / null practical difference (<1%)
low,moderate_distortion,baseline,1000,D_cost_aware,C_expected_exposure,2210.77,near-tie / null practical difference (<1%)
low,moderate_distortion,low,500,D_cost_aware,C_expected_exposure,1758.52,near-tie / null practical difference (<1%)
low,moderate_distortion,low,1000,D_cost_aware,C_expected_exposure,3172.68,near-tie / null practical difference (<1%)
low,moderate_distortion,low,2000,D_cost_aware,C_expected_exposure,1920.09,near-tie / null practical difference (<1%)
low,moderate_distortion,low,5000,D_cost_aware,C_expected_exposure,2613.06,near-tie / null practical difference (<1%)
low,moderate_distortion,low,10000,D_cost_aware,C_expected_exposure,4192.47,near-tie / null practical difference (<1%)
low,severe_distortion,baseline,500,D_cost_aware,C_expected_exposure,2637.75,near-tie / null practical difference (<1%)
low,severe_distortion,baseline,1000,C_expected_exposure,D_cost_aware,536.93,near-tie / null practical difference (<1%)
low,severe_distortion,baseline,2000,D_cost_aware,C_expected_exposure,3413.73,near-tie / null practical difference (<1%)
low,severe_distortion,high,500,D_cost_aware,C_expected_exposure,3302.13,near-tie / null practical difference (<1%)
low,severe_distortion,high,1000,D_cost_aware,C_expected_exposure,4188.93,near-tie / null practical difference (<1%)
low,severe_distortion,low,500,D_cost_aware,C_expected_exposure,657.07,near-tie / null practical difference (<1%)
low,severe_distortion,low,1000,D_cost_aware,C_expected_exposure,946.37,near-tie / null practical difference (<1%)
low,severe_distortion,low,2000,D_cost_aware,C_expected_exposure,713.8,near-tie / null practical difference (<1%)
low,severe_distortion,low,5000,C_expected_exposure,D_cost_aware,1270.06,near-tie / null practical difference (<1%)
low,severe_distortion,low,10000,D_cost_aware,C_expected_exposure,4566.31,near-tie / null practical difference (<1%)
