policy,same_predictions,review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,capacity_utilization,prevalence,calibration,fp_cost_regime,capacity
D_cost_aware,Yes,500,0.374,117048.26,537115.96,12499.13,12500.0,562115.09,1.0,baseline,calibrated,baseline,500
D_cost_aware,Yes,1000,0.352,154880.12,456813.25,25771.72,25000.0,507584.98,1.0,baseline,calibrated,baseline,1000
D_cost_aware,Yes,2000,0.32,216709.05,414005.2,51730.24,50000.0,515735.44,1.0,baseline,calibrated,baseline,2000
D_cost_aware,Yes,5000,0.2584,321377.45,329929.6,131316.95,125000.0,586246.54,1.0,baseline,calibrated,baseline,5000
D_cost_aware,Yes,10000,0.2036,396904.41,247300.98,251278.8,250000.0,748579.78,1.0,baseline,calibrated,baseline,10000
D_cost_aware,Yes,500,0.388,102125.7,536045.71,34109.39,12500.0,582655.1,1.0,baseline,calibrated,high,500
D_cost_aware,Yes,1000,0.372,145210.49,470884.04,67533.53,25000.0,563417.56,1.0,baseline,calibrated,high,1000
D_cost_aware,Yes,2000,0.369,196665.11,445471.1,123404.95,50000.0,618876.05,1.0,baseline,calibrated,high,2000
D_cost_aware,Yes,5000,0.239,248318.58,374694.08,304992.93,125000.0,804687.01,1.0,baseline,calibrated,high,5000
D_cost_aware,Yes,10000,0.1647,282170.07,342975.06,610588.42,250000.0,1203563.48,1.0,baseline,calibrated,high,10000
C_expected_exposure,Yes,500,0.302,86444.64,541620.92,5581.79,12500.0,559702.71,1.0,baseline,calibrated,low,500
C_expected_exposure,Yes,1000,0.318,147504.63,464323.09,10735.52,25000.0,500058.61,1.0,baseline,calibrated,low,1000
D_cost_aware,Yes,2000,0.3,224225.45,425293.2,21055.23,50000.0,496348.43,1.0,baseline,calibrated,low,2000
D_cost_aware,Yes,5000,0.249,328438.1,306772.2,55645.66,125000.0,487417.86,1.0,baseline,calibrated,low,5000
D_cost_aware,Yes,10000,0.2001,423232.39,233599.99,112764.91,250000.0,596364.9,1.0,baseline,calibrated,low,10000
D_cost_aware,Yes,500,0.288,91811.15,560446.1,14911.41,12500.0,587857.51,1.0,baseline,moderate_distortion,baseline,500
D_cost_aware,Yes,1000,0.266,139802.95,511785.87,30072.73,25000.0,566858.6,1.0,baseline,moderate_distortion,baseline,1000
D_cost_aware,Yes,2000,0.236,165431.52,465392.54,62838.09,50000.0,578230.63,1.0,baseline,moderate_distortion,baseline,2000
D_cost_aware,Yes,5000,0.2014,256789.27,363633.16,157176.79,125000.0,645809.95,1.0,baseline,moderate_distortion,baseline,5000
D_cost_aware,Yes,10000,0.1649,299549.6,292780.75,307435.06,250000.0,850215.8,1.0,baseline,moderate_distortion,baseline,10000
D_cost_aware,Yes,500,0.242,74284.73,564377.94,45297.47,12500.0,622175.41,1.0,baseline,moderate_distortion,high,500
D_cost_aware,Yes,1000,0.271,126071.59,516636.21,84522.77,25000.0,626158.99,1.0,baseline,moderate_distortion,high,1000
D_cost_aware,Yes,2000,0.241,151308.76,467152.86,175003.16,50000.0,692156.02,1.0,baseline,moderate_distortion,high,2000
D_cost_aware,Yes,5000,0.2292,263986.16,403553.05,402604.43,125000.0,931157.48,1.0,baseline,moderate_distortion,high,5000
D_cost_aware,Yes,10000,0.1627,289030.69,363571.91,757431.79,250000.0,1371003.7,1.0,baseline,moderate_distortion,high,10000
D_cost_aware,Yes,500,0.246,73476.86,562950.48,6070.18,12500.0,581520.67,1.0,baseline,moderate_distortion,low,500
D_cost_aware,Yes,1000,0.266,128867.06,513605.71,11619.03,25000.0,550224.73,1.0,baseline,moderate_distortion,low,1000
C_expected_exposure,Yes,2000,0.22,174859.15,484798.06,25342.23,50000.0,560140.29,1.0,baseline,moderate_distortion,low,2000
C_expected_exposure,Yes,5000,0.1844,275122.51,381673.49,65900.78,125000.0,572574.27,1.0,baseline,moderate_distortion,low,5000
D_cost_aware,Yes,10000,0.1675,340542.4,288640.31,124650.89,250000.0,663291.2,1.0,baseline,moderate_distortion,low,10000
D_cost_aware,Yes,500,0.174,70577.76,610080.9,16839.85,12500.0,639420.75,1.0,baseline,severe_distortion,baseline,500
D_cost_aware,Yes,1000,0.173,104862.16,544561.83,35213.03,25000.0,604774.86,1.0,baseline,severe_distortion,baseline,1000
D_cost_aware,Yes,2000,0.1435,123543.33,507205.24,72588.93,50000.0,629794.17,1.0,baseline,severe_distortion,baseline,2000
D_cost_aware,Yes,5000,0.1422,199846.97,425092.2,178106.73,125000.0,728198.94,1.0,baseline,severe_distortion,baseline,5000
D_cost_aware,Yes,10000,0.1327,265706.21,369576.3,353024.88,250000.0,972601.18,1.0,baseline,severe_distortion,baseline,10000
C_expected_exposure,Yes,500,0.174,76017.74,547348.18,53994.97,12500.0,613843.15,1.0,baseline,severe_distortion,high,500
