prevalence,calibration,fp_cost_regime,capacity,policy,mean_cost,std_cost,n_seeds,ci95_low,ci95_high,interval_method,best_policy,best_mean_cost,abs_diff_from_best,pct_diff_from_best,near_eq_1pct,near_eq_0.005,near_eq_0.01,near_eq_0.02
baseline,calibrated_by_construction_T1.0,baseline,500,A_fixed_threshold_fifo,638655.2860000001,19126.742616504373,10,626800.4081059594,650510.1638940407,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,568715.212,69940.07400000002,0.1229790807846371,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,500,B_topk_probability,635459.583,18687.585456574598,10,623876.8975336846,647042.2684663153,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,568715.212,66744.37099999993,0.11735991862303118,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,500,C_expected_exposure,569408.014,16719.640520514415,10,559045.0734420025,579770.9545579974,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,568715.212,692.8019999999087,0.0012181879179273803,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,500,D1_cost_aware_topk,568715.212,17635.344660484658,10,557784.7121359529,579645.7118640472,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,568715.212,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,500,D2_cost_aware_abstention,568715.212,17635.344660484658,10,557784.7121359529,579645.7118640472,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,568715.212,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,1000,A_fixed_threshold_fifo,630056.2,19211.781339575627,10,618148.6145593327,641963.7854406672,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,545664.851,84391.34899999993,0.1546578432628418,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,1000,B_topk_probability,628672.637,20268.745764622196,10,616109.9382215049,641235.3357784951,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,545664.851,83007.78599999996,0.1521222887050131,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,1000,C_expected_exposure,547663.922,12977.782592305652,10,539620.2090138467,555707.6349861533,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,545664.851,1999.0709999999963,0.003663550980673293,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,1000,D1_cost_aware_topk,545664.851,13324.835795480609,10,537406.0322099538,553923.6697900463,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,545664.851,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,1000,D2_cost_aware_abstention,545664.851,13324.835795480609,10,537406.0322099538,553923.6697900463,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,545664.851,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,2000,A_fixed_threshold_fifo,624018.513,14552.014227876198,10,614999.0811373601,633037.94486264,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,528609.4689999999,95409.04400000011,0.18049060714044857,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,2000,B_topk_probability,622275.508,16041.240076162585,10,612333.0443936877,632217.9716063123,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,528609.4689999999,93666.0390000001,0.17719326741761435,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,2000,C_expected_exposure,534227.005,9412.864233385048,10,528392.8513044474,540061.1586955526,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,528609.4689999999,5617.53600000008,0.010627006002421953,False,False,False,True
baseline,calibrated_by_construction_T1.0,baseline,2000,D1_cost_aware_topk,528609.4689999999,9071.568163528462,10,522986.8528001407,534232.0851998592,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,528609.4689999999,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,2000,D2_cost_aware_abstention,528639.199,9068.620673947229,10,523018.4096731102,534259.9883268898,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,528609.4689999999,29.73000000009779,5.6241898307912816e-05,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,5000,A_fixed_threshold_fifo,633965.6849999999,14711.524206969492,10,624847.3878280417,643083.9821719582,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,535730.005,98235.67999999993,0.18336788883049387,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,5000,B_topk_probability,697405.502,18198.18917171387,10,686126.1474936472,708684.8565063528,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,535730.005,161675.49699999997,0.30178540587809705,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,5000,C_expected_exposure,601261.611,7762.983621517149,10,596450.063902215,606073.1580977851,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,535730.005,65531.60600000003,0.12232207527745255,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,5000,D1_cost_aware_topk,582513.95,8238.564638117758,10,577407.6347342333,587620.2652657666,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,535730.005,46783.94499999995,0.08732746824587499,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,5000,D2_cost_aware_abstention,535730.005,11052.27444413466,10,528879.7343285276,542580.2756714724,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,535730.005,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,baseline,10000,A_fixed_threshold_fifo,626037.408,18274.355824922644,10,614710.8449128924,637363.9710871077,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,524964.877,101072.53100000008,0.19253198723997697,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,10000,B_topk_probability,876079.775,15571.905865192164,10,866428.2077514266,885731.3422485734,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,524964.877,351114.89800000004,0.6688350276050945,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,10000,C_expected_exposure,805366.983,6516.119030876951,10,801328.2505821013,809405.7154178987,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,524964.877,280402.106,0.5341349836629167,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,10000,D1_cost_aware_topk,746777.587,9022.489333194098,10,741185.3901743365,752369.7838256636,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,524964.877,221812.71000000008,0.42252866757026886,False,False,False,False
baseline,calibrated_by_construction_T1.0,baseline,10000,D2_cost_aware_abstention,524964.877,11764.505214161074,10,517673.1611237515,532256.5928762485,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,524964.877,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,500,A_fixed_threshold_fifo,659416.517,14631.581328491724,10,650347.7689374669,668485.2650625331,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,593192.98,66223.53700000001,0.11163911110343891,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,500,B_topk_probability,652054.67,17641.97365214246,10,641120.061444356,662989.2785556441,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,593192.98,58861.69000000006,0.0992285680791436,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,500,C_expected_exposure,599603.912,13947.251074864414,10,590959.3162230186,608248.5077769815,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,593192.98,6410.93200000003,0.010807498092779233,False,False,False,True
baseline,calibrated_by_construction_T1.0,high,500,D1_cost_aware_topk,593192.98,15131.170810481837,10,583814.583168469,602571.376831531,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,593192.98,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,500,D2_cost_aware_abstention,593192.98,15131.170810481837,10,583814.583168469,602571.376831531,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,593192.98,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,1000,A_fixed_threshold_fifo,654760.258,18428.43558688449,10,643338.1952870217,666182.3207129784,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,589679.589,65080.668999999994,0.110366155135819,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,1000,B_topk_probability,659234.099,17365.744500571273,10,648470.6990462758,669997.4989537243,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,589679.589,69554.51000000001,0.11795305670652949,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,1000,C_expected_exposure,603149.444,8124.476531989564,10,598113.8412750161,608185.046724984,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,589679.589,13469.854999999981,0.022842667867888473,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,1000,D1_cost_aware_topk,590432.6259999999,8362.575662767766,10,585249.4479048316,595615.8040951682,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,589679.589,753.0369999998948,0.0012770274129327117,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,1000,D2_cost_aware_abstention,589679.589,9623.189083003199,10,583715.0746120756,595644.1033879245,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,589679.589,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,2000,A_fixed_threshold_fifo,656134.0889999999,11556.358895008143,10,648971.3835489517,663296.7944510481,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,590121.64,66012.4489999999,0.11186244415642833,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,2000,B_topk_probability,712075.509,9919.923016740315,10,705927.0770145,718223.9409854999,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,590121.64,121953.86899999995,0.20665886612800702,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,2000,C_expected_exposure,657916.932,11603.219696182789,10,650725.1819234722,665108.6820765279,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,590121.64,67795.29200000002,0.11488358908512492,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,2000,D1_cost_aware_topk,620584.8,9606.158032129404,10,614630.8415667702,626538.7584332299,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,590121.64,30463.160000000033,0.05162183172947196,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,2000,D2_cost_aware_abstention,590121.64,13907.746806917045,10,581501.5292219648,598741.7507780353,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,590121.64,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,high,5000,A_fixed_threshold_fifo,659665.524,9526.043825312861,10,653761.2208665999,665569.8271334,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,588247.256,71418.26799999992,0.12140858673210694,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,5000,B_topk_probability,956700.0,10638.535293380912,10,950106.1675109464,963293.8324890536,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,588247.256,368452.74399999995,0.6263569277066036,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,5000,C_expected_exposure,918155.8439999999,9891.027541973132,10,912025.3216153099,924286.3663846899,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,588247.256,329908.5879999999,0.5608331949448139,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,5000,D1_cost_aware_topk,796003.3389999999,8766.186271660812,10,790570.0004576973,801436.6775423025,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,588247.256,207756.08299999987,0.35317815915149775,False,False,False,False
