prevalence,calibration,fp_cost_regime,capacity,comparison,left_policy,right_policy,n_seeds,df,mean_paired_delta,sd_paired_delta,se_paired_delta,t_crit,ci95_low,ci95_high,interval_method,zero_status,ref_mean_cost_right,practical_band_abs,mean_abs_within_1pct_band,ci_within_1pct_practical_band,practical_band_note
baseline,calibrated_by_construction_T1.0,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,66744.37100000001,9620.448179807694,3042.252835981342,2.2621571627409915,59862.31695621573,73626.4250437843,student_t_df_n_minus_1,excludes_0_positive,568715.212,5687.152120000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,baseline,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,83007.78600000002,11647.349102121589,3683.215186582133,2.2621571627409915,74675.77438375686,91339.79761624319,student_t_df_n_minus_1,excludes_0_positive,545664.851,5456.64851,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,baseline,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,93666.03900000002,11362.76178908048,3593.2207763424085,2.2621571627409915,85537.6088834873,101794.46911651274,student_t_df_n_minus_1,excludes_0_positive,528609.469,5286.094690000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,baseline,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,114891.552,14453.598956284452,4570.629308849132,2.2621571627409915,104552.07017075302,125231.03382924697,student_t_df_n_minus_1,excludes_0_positive,582513.95,5825.139499999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,baseline,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,129302.18800000001,10697.311793901867,3382.7870109711603,2.2621571627409915,121649.7921331044,136954.5838668956,student_t_df_n_minus_1,excludes_0_positive,746777.587,7467.77587,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,high,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,58861.68999999999,12997.834938053704,4110.276305516328,2.2621571627409915,49563.59901463165,68159.78098536833,student_t_df_n_minus_1,excludes_0_positive,593192.9800000001,5931.929800000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,high,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,68801.47300000001,13722.627075558315,4339.47570398598,2.2621571627409915,58984.896953687625,78618.0490463124,student_t_df_n_minus_1,excludes_0_positive,590432.626,5904.326260000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,high,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,91490.70899999999,6811.475819460792,2153.9777816657966,2.2621571627409915,86618.07273281975,96363.34526718022,student_t_df_n_minus_1,excludes_0_positive,620584.8,6205.848000000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,high,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,160696.66100000002,12370.340066929344,3911.8450042336476,2.2621571627409915,151847.4528041403,169545.86919585973,student_t_df_n_minus_1,excludes_0_positive,796003.339,7960.0333900000005,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,high,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,329354.192,10416.71608372045,3294.0548563865827,2.2621571627409915,321902.5222121633,336805.86178783665,student_t_df_n_minus_1,excludes_0_positive,1183311.3220000002,11833.113220000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,low,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,68418.028,11072.071385772397,3501.29639950176,2.2621571627409915,60497.54527098786,76338.51072901215,student_t_df_n_minus_1,excludes_0_positive,566432.2950000002,5664.322950000002,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,low,1000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,83594.47699999997,5765.072326280554,1823.0759426651946,2.2621571627409915,79470.39269807911,87718.56130192082,student_t_df_n_minus_1,excludes_0_positive,527050.215,5270.502149999999,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,low,2000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,105527.595,11559.107774237056,3655.310828594848,2.2621571627409915,97258.70742704946,113796.48257295054,student_t_df_n_minus_1,excludes_0_positive,491772.745,4917.72745,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,low,5000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,109188.14199999999,10363.76575829869,3277.310493268595,2.2621571627409915,101774.35059312623,116601.93340687375,student_t_df_n_minus_1,excludes_0_positive,493169.02800000005,4931.690280000001,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,calibrated_by_construction_T1.0,low,10000,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,105180.357,9565.949803379624,3025.0189361519483,2.2621571627409915,98337.28874615674,112023.42525384326,student_t_df_n_minus_1,excludes_0_positive,582074.466,5820.74466,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
baseline,temperature_T1.5,baseline,500,delta_B_D1,B_topk_probability,D1_cost_aware_topk,10,9,59072.994000000006,7539.578113564316,2384.2239435618885,2.2621571627409915,53679.5047284929,64466.48327150711,student_t_df_n_minus_1,excludes_0_positive,570079.043,5700.79043,False,False,project pre-specified 1% band of |mean cost of right policy|; not an industry standard
