policy,same_predictions,review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,capacity_utilization,prevalence,calibration,fp_cost_regime,capacity,best_policy,best_cost,rel_cost_vs_best
B_topk_probability,Yes,500,0.508,29021.56,324464.33,4055.11,12500.0,341019.44,1.0,low,calibrated,low,500,D_cost_aware,311817.93,1.0936492330636665
B_topk_probability,Yes,1000,0.4,45319.19,316073.26,9366.85,25000.0,350440.11,1.0,low,calibrated,low,1000,D_cost_aware,302441.16,1.1587050849824807
B_topk_probability,Yes,2000,0.3415,85238.97,272357.31,21658.74,50000.0,344016.05,1.0,low,calibrated,low,2000,D_cost_aware,292842.79,1.1747465252601916
B_topk_probability,Yes,5000,0.2276,135885.9,213309.1,62854.07,125000.0,401163.17,1.0,low,calibrated,low,5000,D_cost_aware,349853.76,1.1466595928538827
B_topk_probability,Yes,10000,0.1558,195309.85,159682.74,137983.02,250000.0,547665.76,1.0,low,calibrated,low,10000,D_cost_aware,481179.86,1.1381726575172952
B_topk_probability,Yes,500,0.454,24074.59,315829.01,12293.33,12500.0,340622.34,1.0,low,calibrated,baseline,500,D_cost_aware,311351.55,1.094012025955869
B_topk_probability,Yes,1000,0.382,45192.81,315547.89,26181.59,25000.0,366729.47,1.0,low,calibrated,baseline,1000,D_cost_aware,322779.29,1.1361617097552943
B_topk_probability,Yes,2000,0.3145,78059.46,288447.55,59945.7,50000.0,398393.25,1.0,low,calibrated,baseline,2000,D_cost_aware,342782.28,1.1622340863127463
B_topk_probability,Yes,5000,0.2298,130802.95,219117.62,166141.75,125000.0,510259.36,1.0,low,calibrated,baseline,5000,D_cost_aware,437031.05,1.167558597953166
B_topk_probability,Yes,10000,0.1578,197683.4,169428.4,363165.87,250000.0,782594.27,1.0,low,calibrated,baseline,10000,D_cost_aware,648534.35,1.2067121348314087
B_topk_probability,Yes,500,0.448,29342.7,330867.8,35784.3,12500.0,379152.09,1.0,low,calibrated,high,500,D_cost_aware,344487.03,1.1006280555758514
B_topk_probability,Yes,1000,0.418,48402.84,325181.48,77191.7,25000.0,427373.17,1.0,low,calibrated,high,1000,D_cost_aware,372725.62,1.1466160281657054
B_topk_probability,Yes,2000,0.3185,76833.48,270630.92,178145.9,50000.0,498776.82,1.0,low,calibrated,high,2000,D_cost_aware,423169.17,1.1786700340197278
B_topk_probability,Yes,5000,0.2202,138025.51,218372.69,506125.19,125000.0,849497.88,1.0,low,calibrated,high,5000,D_cost_aware,657276.54,1.2924512412994384
B_topk_probability,Yes,10000,0.1579,196899.87,171456.55,1101470.79,250000.0,1522927.34,1.0,low,calibrated,high,10000,D_cost_aware,1074394.31,1.417475247053384
B_topk_probability,Yes,500,0.312,18321.65,324454.7,5338.88,12500.0,342293.58,1.0,low,moderate_distortion,low,500,D_cost_aware,318323.12,1.0753022903268856
B_topk_probability,Yes,1000,0.257,32609.22,327916.54,12345.15,25000.0,365261.69,1.0,low,moderate_distortion,low,1000,D_cost_aware,331317.89,1.1024508516579048
B_topk_probability,Yes,2000,0.2215,50153.65,298964.77,25148.52,50000.0,374113.29,1.0,low,moderate_distortion,low,2000,D_cost_aware,333500.39,1.1217776686857845
B_topk_probability,Yes,5000,0.147,88250.65,245486.85,69336.84,125000.0,439823.69,1.0,low,moderate_distortion,low,5000,D_cost_aware,386479.3,1.1380265126748057
B_topk_probability,Yes,10000,0.1235,167148.6,214707.74,142868.61,250000.0,607576.35,1.0,low,moderate_distortion,low,10000,D_cost_aware,538504.48,1.1282661009616857
B_topk_probability,Yes,500,0.29,17188.27,331342.23,15413.35,12500.0,359255.58,1.0,low,moderate_distortion,baseline,500,C_expected_exposure,322407.04,1.1142919832023521
B_topk_probability,Yes,1000,0.271,36488.66,334054.29,31476.01,25000.0,390530.3,1.0,low,moderate_distortion,baseline,1000,D_cost_aware,352041.24,1.109331111320935
B_topk_probability,Yes,2000,0.2265,51502.3,301257.61,66212.31,50000.0,417469.92,1.0,low,moderate_distortion,baseline,2000,D_cost_aware,368362.95,1.133311371298335
B_topk_probability,Yes,5000,0.1528,88657.02,257142.23,182417.14,125000.0,564559.36,1.0,low,moderate_distortion,baseline,5000,D_cost_aware,497987.37,1.133682085150071
B_topk_probability,Yes,10000,0.1203,144066.84,229029.16,379787.43,250000.0,858816.6,1.0,low,moderate_distortion,baseline,10000,D_cost_aware,719556.18,1.1935365491545078
B_topk_probability,Yes,500,0.326,16585.67,331889.32,45332.66,12500.0,389721.97,1.0,low,moderate_distortion,high,500,D_cost_aware,368816.99,1.056681174042443
B_topk_probability,Yes,1000,0.25,30585.05,330072.3,95988.78,25000.0,451061.09,1.0,low,moderate_distortion,high,1000,D_cost_aware,408131.83,1.1051847879642223
B_topk_probability,Yes,2000,0.216,49350.81,306641.27,202063.73,50000.0,558705.0,1.0,low,moderate_distortion,high,2000,D_cost_aware,495976.5,1.126474742250893
B_topk_probability,Yes,5000,0.154,83095.12,266460.84,550793.72,125000.0,942254.55,1.0,low,moderate_distortion,high,5000,D_cost_aware,752745.0,1.2517579658450073
B_topk_probability,Yes,10000,0.1202,155803.67,203914.04,1137868.54,250000.0,1591782.58,1.0,low,moderate_distortion,high,10000,D_cost_aware,1175857.64,1.3537204894973511
B_topk_probability,Yes,500,0.164,11481.45,346720.66,6841.42,12500.0,366062.08,1.0,low,severe_distortion,low,500,D_cost_aware,344360.32,1.0630205013167604
B_topk_probability,Yes,1000,0.166,23296.83,339674.59,13618.85,25000.0,378293.44,1.0,low,severe_distortion,low,1000,D_cost_aware,347229.42,1.0894625230776818
B_topk_probability,Yes,2000,0.1295,30405.27,326474.25,28215.83,50000.0,404690.08,1.0,low,severe_distortion,low,2000,D_cost_aware,362796.7,1.1154734318145672
B_topk_probability,Yes,5000,0.1086,67051.85,296580.21,72337.04,125000.0,493917.25,1.0,low,severe_distortion,low,5000,C_expected_exposure,427207.97,1.1561517684232343
B_topk_probability,Yes,10000,0.087,107673.83,255568.31,148383.29,250000.0,653951.6,1.0,low,severe_distortion,low,10000,D_cost_aware,590989.8,1.1065361872573773
B_topk_probability,Yes,500,0.174,9659.96,328181.15,18453.97,12500.0,359135.11,1.0,low,severe_distortion,baseline,500,D_cost_aware,333603.55,1.0765326388163434
B_topk_probability,Yes,1000,0.171,27694.57,340082.99,36642.77,25000.0,401725.76,1.0,low,severe_distortion,baseline,1000,C_expected_exposure,364339.95,1.1026124365444965
B_topk_probability,Yes,2000,0.139,32653.08,324721.88,74223.03,50000.0,448944.91,1.0,low,severe_distortion,baseline,2000,D_cost_aware,411760.84,1.0903050178351101
B_topk_probability,Yes,5000,0.1096,71188.68,298443.72,193476.76,125000.0,616920.48,1.0,low,severe_distortion,baseline,5000,D_cost_aware,554580.18,1.112409895355438
B_topk_probability,Yes,10000,0.0815,105566.25,258708.61,397025.35,250000.0,905733.96,1.0,low,severe_distortion,baseline,10000,D_cost_aware,827102.1,1.0950691093638862
B_topk_probability,Yes,500,0.17,9946.47,357446.24,54497.71,12500.0,424443.94,1.0,low,severe_distortion,high,500,D_cost_aware,404425.34,1.0494988766035283
B_topk_probability,Yes,1000,0.156,20731.46,324181.16,109845.36,25000.0,459026.52,1.0,low,severe_distortion,high,1000,D_cost_aware,427526.91,1.0736786603678352
B_topk_probability,Yes,2000,0.1385,25457.69,327524.42,227142.68,50000.0,604667.1,1.0,low,severe_distortion,high,2000,D_cost_aware,563801.15,1.0724829135236775
B_topk_probability,Yes,5000,0.1082,69802.1,277099.04,586547.03,125000.0,988646.06,1.0,low,severe_distortion,high,5000,D_cost_aware,889241.2,1.111786161055066
B_topk_probability,Yes,10000,0.0833,105811.83,261329.61,1194705.12,250000.0,1706034.73,1.0,low,severe_distortion,high,10000,D_cost_aware,1432247.14,1.1911594600915036
B_topk_probability,Yes,500,0.618,33296.05,594769.52,3089.31,12500.0,610358.82,1.0,baseline,calibrated,low,500,C_expected_exposure,559702.71,1.0905053863326837
B_topk_probability,Yes,1000,0.559,67860.41,543967.31,7000.1,25000.0,575967.42,1.0,baseline,calibrated,low,1000,C_expected_exposure,500058.61,1.1517998260243936
B_topk_probability,Yes,2000,0.475,116773.17,532745.48,17023.65,50000.0,599769.12,1.0,baseline,calibrated,low,2000,D_cost_aware,496348.43,1.2083630847789728
B_topk_probability,Yes,5000,0.3478,213534.31,421675.99,53288.06,125000.0,599964.05,1.0,baseline,calibrated,low,5000,D_cost_aware,487417.86,1.2309028848471004
B_topk_probability,Yes,10000,0.2567,321608.32,335224.07,120433.08,250000.0,705657.15,1.0,baseline,calibrated,low,10000,D_cost_aware,596364.9,1.1832640552789073
B_topk_probability,Yes,500,0.65,39188.58,614975.64,7986.42,12500.0,635462.06,1.0,baseline,calibrated,baseline,500,D_cost_aware,562115.09,1.1304839014373376
B_topk_probability,Yes,1000,0.544,77254.17,534439.21,19694.08,25000.0,579133.28,1.0,baseline,calibrated,baseline,1000,D_cost_aware,507584.98,1.1409582687021196
B_topk_probability,Yes,2000,0.481,117374.66,513339.58,44791.76,50000.0,608131.35,1.0,baseline,calibrated,baseline,2000,D_cost_aware,515735.44,1.1791536955459179
