prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
baseline,calibrated_by_construction_T1.0,baseline,500,D1_cost_aware_topk,568715.212,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
baseline,calibrated_by_construction_T1.0,baseline,1000,D1_cost_aware_topk,545664.851,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
baseline,calibrated_by_construction_T1.0,baseline,2000,D1_cost_aware_topk,528609.4689999999,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,calibrated_by_construction_T1.0,baseline,5000,D2_cost_aware_abstention,535730.005,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,baseline,10000,D2_cost_aware_abstention,524964.877,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,high,500,D1_cost_aware_topk,593192.98,"D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
baseline,calibrated_by_construction_T1.0,high,1000,D2_cost_aware_abstention,589679.589,"D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
baseline,calibrated_by_construction_T1.0,high,2000,D2_cost_aware_abstention,590121.64,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,high,5000,D2_cost_aware_abstention,588247.256,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,high,10000,D2_cost_aware_abstention,591189.539,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,low,500,D1_cost_aware_topk,566432.295,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
baseline,calibrated_by_construction_T1.0,low,1000,C_expected_exposure,526776.9450000001,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.5,near_equivalent_unstable
baseline,calibrated_by_construction_T1.0,low,2000,D1_cost_aware_topk,491772.745,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
baseline,calibrated_by_construction_T1.0,low,5000,D2_cost_aware_abstention,483771.485,D2_cost_aware_abstention,1.0,clear_winner
baseline,calibrated_by_construction_T1.0,low,10000,D2_cost_aware_abstention,484943.021,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,baseline,500,D1_cost_aware_topk,570079.043,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
baseline,temperature_T1.5,baseline,1000,D1_cost_aware_topk,553518.466,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T1.5,baseline,2000,D1_cost_aware_topk,535302.223,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T1.5,baseline,5000,D2_cost_aware_abstention,574259.282,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,baseline,10000,D2_cost_aware_abstention,569565.784,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,high,500,D1_cost_aware_topk,598448.977,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T1.5,high,1000,D1_cost_aware_topk,596370.599,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T1.5,high,2000,D2_cost_aware_abstention,606414.314,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,high,5000,D2_cost_aware_abstention,612782.533,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,high,10000,D2_cost_aware_abstention,609424.089,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T1.5,low,500,D1_cost_aware_topk,569790.8929999999,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.5,near_equivalent_unstable
baseline,temperature_T1.5,low,1000,D1_cost_aware_topk,536809.939,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.7,near_equivalent
baseline,temperature_T1.5,low,2000,D1_cost_aware_topk,507306.049,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
baseline,temperature_T1.5,low,5000,D1_cost_aware_topk,505475.31500000006,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
baseline,temperature_T1.5,low,10000,D2_cost_aware_abstention,537972.389,D2_cost_aware_abstention,1.0,clear_winner
baseline,temperature_T2.5,baseline,500,D1_cost_aware_topk,598442.137,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
baseline,temperature_T2.5,baseline,1000,D1_cost_aware_topk,583517.023,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
