review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,review_effectiveness,policy,same_predictions,capacity_utilization,e
2000,0.5195,61908.14,578290.48,40545.19,50000.0,668835.67,0.5,B_topk_probability,Yes,1.0,0.5
2000,0.3105,113366.59,526832.03,58304.17,50000.0,635136.2,0.5,C_expected_exposure,Yes,1.0,0.5
2000,0.359,106647.2,533551.41,44121.32,50000.0,627672.74,0.5,D1_cost_aware_topk,Yes,1.0,0.5
724,0.4075,62704.73,577493.88,15544.39,18100.0,611138.27,0.5,D2_cost_aware_abstention,Yes,0.362,0.5
2000,0.5195,99053.02,541145.6,40545.19,50000.0,631690.79,0.8,B_topk_probability,Yes,1.0,0.8
2000,0.3105,181386.54,458812.07,58304.17,50000.0,567116.25,0.8,C_expected_exposure,Yes,1.0,0.8
2000,0.3435,176708.88,463489.74,47822.21,50000.0,561311.95,0.8,D1_cost_aware_topk,Yes,1.0,0.8
1480,0.3615,154502.17,485696.44,34977.85,37000.0,557674.29,0.8,D2_cost_aware_abstention,Yes,0.74,0.8
2000,0.5195,123816.27,516382.35,40545.19,50000.0,606927.53,1.0,B_topk_probability,Yes,1.0,1.0
2000,0.3105,226733.18,413465.44,58304.17,50000.0,521769.61,1.0,C_expected_exposure,Yes,1.0,1.0
2000,0.337,223393.2,416805.42,49531.31,50000.0,516336.73,1.0,D1_cost_aware_topk,Yes,1.0,1.0
2000,0.337,223393.2,416805.42,49531.31,50000.0,516336.73,1.0,D2_cost_aware_abstention,Yes,1.0,1.0
